front,back,tags
"What is **Log entry**?","`(term, command)` at index i","raft|terminology"
"What is **Commit index**?","Highest log index known committed (replicated on majority)","raft|terminology"
"What is **Leader**?","Sole proposer for new entries in its term","raft|terminology"
"What is **Follower**?","Passive; responds to RPCs","raft|terminology"
"What is **Candidate**?","Seeking votes in current term","raft|terminology"
"What is **AppendEntries RPC**?","Leader replication heartbeat + entries","raft|terminology"
"What is **RequestVote RPC**?","Candidate solicits votes","raft|terminology"
"What is **Election restriction**?","Voter grants vote only if candidate's log is at least as up-to-date","raft|terminology"
"What is **Log matching property**?","Same index + term ⇒ identical prefixes","raft|terminology"
"What is **Leader completeness**?","Committed entry from prior term present on future leaders","raft|terminology"
"What is **State machine application**?","Apply committed entries in index order","raft|terminology"
"What is **Joint consensus**?","Overlapping majorities during membership change","raft|terminology"
"Summarize the core idea of **Raft Consensus**.","**Raft** is a consensus algorithm designed for **understandability** without sacrificing correctness (Ongaro & Ousterhout, 2014). It decomposes consensus into three relatively independent subproblems: **leader election**, **log replication**, and **safety**. A cluster elects at most one leader per **term**; the leader accepts client commands, appends them to its **replicated log**, and commits entries once replicated on a **majority**. Followers apply committed entries to deterministic **state m","raft|summary"
"What is **View**?","Epoch with unique view number and designated primary","viewstamped-replication|terminology"
"What is **View number**?","Monotonic integer identifying current configuration epoch","viewstamped-replication|terminology"
"What is **Primary**?","Leader replica for current view","viewstamped-replication|terminology"
"What is **Backup**?","Non-primary replica","viewstamped-replication|terminology"
"What is **Op-number**?","Monotonic sequence assigned by primary to each operation","viewstamped-replication|terminology"
"What is **Commit-number**?","Highest op-number known committed (replicated on quorum)","viewstamped-replication|terminology"
"What is **Prepared**?","Operation received and logged by replica (may not be committed)","viewstamped-replication|terminology"
"What is **View change**?","Transition to new view with new primary","viewstamped-replication|terminology"
"What is **VIEW-CHANGE message**?","Backup announces readiness for new view with log summary","viewstamped-replication|terminology"
"What is **NEW-VIEW message**?","New primary consolidates logs and starts view","viewstamped-replication|terminology"
"What is **Checkpoint**?","Stable snapshot for garbage collection","viewstamped-replication|terminology"
"What is **State transfer**?","Copy state to lagging replica","viewstamped-replication|terminology"
"Summarize the core idea of **Viewstamped Replication**.","**Viewstamped Replication (VSR)** is a consensus protocol developed by Barbara Liskov and colleagues (1988–2012) for **replicated state machines** using a **primary-backup** model organized by **views**. Each view has a unique **view number** and designates one **primary** replica; backups accept client operations only through the primary and participate in **view changes** when the primary is suspected failed. VSR predates Raft and Multi-Paxos popularization and influenced modern replicated-log","viewstamped-replication|summary"
"What is **Zab**?","ZooKeeper Atomic Broadcast protocol","zab|terminology"
"What is **zxid**?","64-bit transaction ID: epoch (high 32) + counter (low 32)","zab|terminology"
"What is **Epoch**?","Leadership era; increments on new leader election","zab|terminology"
"What is **Leader**?","Primary proposing transactions","zab|terminology"
"What is **Follower**?","Receives and acks proposals","zab|terminology"
"What is **Observer**?","Receives commits; does not vote in quorum","zab|terminology"
"What is **Recovery phase**?","Leader election + log sync before accepting writes","zab|terminology"
"What is **Broadcast phase**?","Steady-state transaction replication","zab|terminology"
"What is **Proposal**?","Leader's transaction package to followers","zab|terminology"
"What is **COMMIT**?","Leader notifies followers transaction committed","zab|terminology"
"What is **In-sync set**?","Followers caught up enough to form quorum","zab|terminology"
"What is **Data tree**?","In-memory hierarchical znode namespace","zab|terminology"
"What is **Session**?","Client connection state with timeout","zab|terminology"
"Summarize the core idea of **ZooKeeper Atomic Broadcast (Zab)**.","**Zab (ZooKeeper Atomic Broadcast)** is the consensus protocol powering **Apache ZooKeeper**—a coordination service for distributed systems (configuration, naming, locking, leader election). Zab provides **atomic broadcast**: a total order of transactions delivered identically to all servers, with **primary-backup** semantics organized by **epochs** and **transaction IDs (zxid)**. Unlike presenting as generic replicated log consensus, Zab is optimized for ZooKeeper's **in-memory data tree**, **s","zab|summary"
"What is **Ensemble**?","ZooKeeper cluster (usually odd size)","zookeeper|terminology"
"What is **Znode**?","Node in hierarchical namespace (like filesystem path)","zookeeper|terminology"
"What is **Persistent znode**?","Survives client disconnect","zookeeper|terminology"
"What is **Ephemeral znode**?","Deleted when session expires","zookeeper|terminology"
"What is **Sequential znode**?","Name suffixed with monotonic sequence","zookeeper|terminology"
"What is **Session**?","Client connection state with timeout","zookeeper|terminology"
"What is **Watch**?","One-time notification on znode change","zookeeper|terminology"
"What is **Zab**?","ZooKeeper Atomic Broadcast protocol","zookeeper|terminology"
"What is **Leader / Follower**?","Zab roles; leader orders writes","zookeeper|terminology"
"What is **Observer**?","Replicates without voting (scale reads)","zookeeper|terminology"
"What is **ACL**?","Per-znode access control","zookeeper|terminology"
"What is **Data tree**?","In-memory hierarchy + persistent snapshot/log","zookeeper|terminology"
"What is **zxid**?","ZooKeeper transaction id (64-bit: epoch + counter)","zookeeper|terminology"
"Summarize the core idea of **Apache ZooKeeper**.","**Apache ZooKeeper** is a distributed coordination service designed for **low-volume, high-value metadata**: configuration, naming, group membership, leader election, and distributed locks. Clients interact with a **hierarchical namespace** of **znodes** (data nodes) through a simple API—create, read, update, delete, and **watch** for changes. ZooKeeper's correctness rests on **Zab (ZooKeeper Atomic Broadcast)**, a consensus protocol specialized for **primary-backup atomic broadcast** of state t","zookeeper|summary"
"What is **Conflict**?","Incompatible concurrent versions of same logical object.","conflict-resolution|terminology"
"What is **Sibling**?","Coexisting versions not ordered by happens-before.","conflict-resolution|terminology"
"What is **Version vector**?","Per-replica counters detecting concurrency.","conflict-resolution|terminology"
"What is **Revision tree**?","CouchDB-style branching `_rev` history.","conflict-resolution|terminology"
"What is **LWW (last-writer-wins)**?","Pick version with highest timestamp.","conflict-resolution|terminology"
"What is **MVR (multi-value register)**?","Return all concurrent values to application.","conflict-resolution|terminology"
"What is **CRDT**?","Conflict-free replicated data type—algebraic merge.","conflict-resolution|terminology"
"What is **State-based CRDT**?","Merge full states (G-counter, G-set).","conflict-resolution|terminology"
"What is **Op-based CRDT**?","Replay commutative operations.","conflict-resolution|terminology"
"What is **Semantic merge**?","Domain function (union cart, max inventory).","conflict-resolution|terminology"
"What is **Tombstone**?","Deletion marker in CRDT sets—garbage collection issue.","conflict-resolution|terminology"
"What is **Hybrid logical clock (HLC)**?","Wall time + logical counter for ordering.","conflict-resolution|terminology"
"Summarize the core idea of **Conflict Resolution**.","**Conflict resolution** is the set of policies and mechanisms that determine how a replicated system converges when **concurrent or divergent writes** produce incompatible versions of the same data. In primary-secondary replication, conflicts are avoided by serializing writes at a single leader; in **multi-leader** and **leaderless** systems, conflicts are **expected**. Resolution strategies span the spectrum from **automatic** (last-writer-wins, CRDT merge) to **manual** (user chooses in UI) to","conflict-resolution|summary"
"What is **CRDT**?","Replicated datatype with conflict-free merge semantics.","crdts|terminology"
"What is **CvRDT (state-based)**?","Merge full states via join function ⊔.","crdts|terminology"
"What is **CmRDT (operation-based)**?","Apply operations; requires causal delivery.","crdts|terminology"
"What is **Join-semilattice**?","Partial order with least upper bound (join) that is commutative, associative, idempotent.","crdts|terminology"
"What is **SEC**?","Strong eventual consistency—same updates → same state.","crdts|terminology"
"What is **G-Counter**?","Grow-only counter; one component per replica.","crdts|terminology"
"What is **PN-Counter**?","Positive minus negative G-Counters.","crdts|terminology"
"What is **LWW-Register**?","Last-writer-wins register with (value, timestamp, replica id).","crdts|terminology"
"What is **OR-Set**?","Observed-removed set; add tagged; remove tombstones tags.","crdts|terminology"
"What is **Dot context**?","Metadata tracking unique operation identifiers (OR-Set, OR-Map).","crdts|terminology"
"What is **Anti-entropy**?","Background state exchange driving CvRDT convergence.","crdts|terminology"
"Summarize the core idea of **Conflict-Free Replicated Data Types**.","**Conflict-Free Replicated Data Types (CRDTs)** are replicated data structures whose states converge to the same value without coordination, provided replicas eventually receive each other's updates. The guarantee is formal: all replicas that have observed the same set of updates arrive at **identical** merged state—a **strong eventual consistency (SEC)** property stronger than generic eventual consistency, which only promises convergence without specifying the merged value.","crdts|summary"
"What is **N**?","Replication factor—replicas per key.","leaderless-replication|terminology"
"What is **W**?","Write quorum—acks required for write success.","leaderless-replication|terminology"
"What is **R**?","Read quorum—replicas consulted on read.","leaderless-replication|terminology"
"What is **Quorum intersection**?","R + W > N ensures overlap.","leaderless-replication|terminology"
"What is **Coordinator**?","Node routing client request to replicas.","leaderless-replication|terminology"
"What is **Consistent hashing**?","Partition keys across ring.","leaderless-replication|terminology"
"What is **Hinted handoff**?","Store write for temporarily down replica.","leaderless-replication|terminology"
"What is **Sloppy quorum**?","Write to fallback nodes outside preference list.","leaderless-replication|terminology"
"What is **Read repair**?","Update stale replicas during read.","leaderless-replication|terminology"
"What is **Anti-entropy**?","Background Merkle-tree sync between replicas.","leaderless-replication|terminology"
"What is **Sibling**?","Concurrent versions returned together.","leaderless-replication|terminology"
"What is **Version vector**?","Per-replica version metadata for concurrency.","leaderless-replication|terminology"
"Summarize the core idea of **Leaderless Replication**.","**Leaderless replication** (Dynamo-style) has **no fixed leader node**: clients send writes and reads to **multiple replicas** in parallel; the system uses **quorums** to determine durability and visibility. A write succeeds when **W replicas** acknowledge; a read consults **R replicas** and returns the **latest version** (by version number or vector clock). When **R + W > N** (for N replicas), reads and writes overlap on at least one node—providing a **quorum consistency** guarantee under stabl","leaderless-replication|summary"
"What is **Multi-leader / multi-master**?","Multiple nodes accept writes.","multi-leader-replication|terminology"
"What is **Active-active**?","All sites writable in normal operation.","multi-leader-replication|terminology"
"What is **Write conflict**?","Concurrent incompatible updates to same item.","multi-leader-replication|terminology"
"What is **Replication topology**?","Graph of leader-to-leader sync paths.","multi-leader-replication|terminology"
"What is **All-to-all**?","Every leader replicates to every other.","multi-leader-replication|terminology"
"What is **Circular topology**?","A→B→C→A chain—ordering hazards.","multi-leader-replication|terminology"
"What is **Revision tree**?","CouchDB-style branching history per document.","multi-leader-replication|terminology"
"What is **Vector clock**?","Detects concurrency across leaders.","multi-leader-replication|terminology"
"What is **LWW**?","Last-writer-wins—timestamp resolution.","multi-leader-replication|terminology"
"What is **Offline-first**?","Client as temporary leader.","multi-leader-replication|terminology"
"What is **Anti-entropy**?","Background sync between leaders.","multi-leader-replication|terminology"
"What is **Split-brain (multi-leader)**?","Divergent concurrent histories—not always fatal if merge exists.","multi-leader-replication|terminology"
"Summarize the core idea of **Multi-Leader Replication**.","**Multi-leader replication** (multi-master, active-active) allows **more than one node to accept writes** independently. Each leader processes local writes and **replicates changes to other leaders** asynchronously (typically). The model targets **multi-datacenter deployments**, **offline-first clients**, and **write locality**—users write to the nearest leader without cross-region RTT to a single primary. Kleppmann (*DDIA*, Chapter 5) identifies multi-leader as powerful but **conflict-prone**: ","multi-leader-replication|summary"
"What is **Primary / leader**?","Node accepting writes; appends to replication log.","primary-secondary-replication|terminology"
"What is **Secondary / follower / replica**?","Node applying log; may serve reads.","primary-secondary-replication|terminology"
"What is **Replication log**?","Ordered stream of changes (WAL, binlog, oplog).","primary-secondary-replication|terminology"
"What is **Synchronous replication**?","Primary waits for follower ack before commit ack to client.","primary-secondary-replication|terminology"
"What is **Asynchronous replication**?","Primary acks after local commit; followers catch up later.","primary-secondary-replication|terminology"
"What is **Replication lag**?","Delay between primary commit and follower application.","primary-secondary-replication|terminology"
"What is **Failover**?","Promote follower to primary after primary failure.","primary-secondary-replication|terminology"
"What is **Split-brain**?","Two nodes both believe they are primary—**safety violation**.","primary-secondary-replication|terminology"
"What is **Read replica**?","Secondary used for read scaling.","primary-secondary-replication|terminology"
"What is **Hot standby**?","Follower ready for immediate promotion.","primary-secondary-replication|terminology"
"What is **Semi-sync**?","Wait for at least one follower (MySQL semi-sync, etc.).","primary-secondary-replication|terminology"
"What is **Catch-up replication**?","New follower copies full snapshot then tails log.","primary-secondary-replication|terminology"
"Summarize the core idea of **Primary-Secondary Replication**.","**Primary-secondary replication** (also called **leader-follower** or **master-replica**) is the dominant replication topology in production databases: one **primary** (leader) accepts all writes; **secondaries** (followers) receive a **log** of changes and apply them locally. Clients may read from secondaries for scale and locality, but write ordering is centralized at the primary. Kleppmann (*DDIA*, Chapter 5) treats this as the default replication model because it avoids write conflicts while","primary-secondary-replication|summary"
"What is **Consistency (C)**?","All operations appear to execute **atomically** at a single instant, consistent with a sequential read/write register (equivalent to **linearizability** for the single-register case).","cap-theorem|terminology"
"What is **Availability (A)**?","Every request received by a **non-failing** node must result in a **non-error response** within a finite time, without the node knowing whether other nodes agree.","cap-theorem|terminology"
"What is **Partition tolerance (P)**?","The system continues to operate despite **arbitrary message loss** between nodes (network partitions are a manifestation).","cap-theorem|terminology"
"What is **Network partition**?","A period when messages between some pairs of nodes are not delivered.","cap-theorem|terminology"
"What is **CP (during partition)**?","Sacrifice availability: some requests fail or time out rather than violate linearizability.","cap-theorem|terminology"
"What is **AP (during partition)**?","Sacrifice linearizability: both sides may respond, possibly with divergent or stale data.","cap-theorem|terminology"
"What is **Brewer's conjecture (2000)**?","Informal claim that consistency, availability, and partition tolerance cannot all hold in the large-scale distributed systems setting.","cap-theorem|terminology"
"What is **CAP theorem (proved)**?","In an asynchronous network, a replicated read/write register cannot be C, A, and P simultaneously when a partition occurs.","cap-theorem|terminology"
"Summarize the core idea of **CAP Theorem**.","The **CAP theorem** formalizes a constraint on replicated data stores in distributed systems: when the network **partitions** so that nodes cannot communicate, a system cannot simultaneously provide **linearizable consistency** (Gilbert and Lynch's *C*) and **availability** (their *A*) for every request. **Partition tolerance** (*P*) is not an optional third knob—it reflects the reality that networks fail; the meaningful choice during a partition is between sacrificing strong consistency or sacr","cap-theorem|summary"
"What is **Causal consistency**?","All replicas respect happens-before ordering of operations.","causal-consistency|terminology"
"What is **Happens-before (\(\rightarrow\))**?","Lamport causal precedence among events.","causal-consistency|terminology"
"What is **Concurrent (\(\parallel\))**?","Neither operation causally precedes the other.","causal-consistency|terminology"
"What is **Causal delivery**?","Deliver operation only after all \(\rightarrow\) predecessors applied.","causal-consistency|terminology"
"What is **Causal past**?","Set of operations that causally precede a given operation.","causal-consistency|terminology"
"What is **Version vector**?","Per-replica counters on data for conflict detection (related algebra).","causal-consistency|terminology"
"What is **Session guarantee**?","Per-client ordering properties (read-your-writes, monotonic reads).","causal-consistency|terminology"
"What is **PRAM consistency**?","Per-process order preserved; weaker than causal in some formulations.","causal-consistency|terminology"
"What is **COPS**?","Don't-Reorder / causal+ consistency in geo-distributed KV (Lloyd et al.).","causal-consistency|terminology"
"What is **Lamport clock**?","Scalar; respects \(\rightarrow\) but cannot detect concurrency.","causal-consistency|terminology"
"Summarize the core idea of **Causal Consistency**.","**Causal consistency** is a replication model that preserves the **happens-before** relation among operations: if operation A causally precedes operation B (A \(\rightarrow\) B), every process must observe A before B. Operations that are **concurrent** (neither causally precedes the other) may be observed in different orders by different clients—unlike **linearizability**, which imposes a single real-time total order on all operations.","causal-consistency|summary"
"What is **Eventual consistency**?","If no new updates, all replicas eventually agree on value.","eventual-consistency|terminology"
"What is **Staleness**?","Read returns older value than another replica or than a prior acknowledged write.","eventual-consistency|terminology"
"What is **Convergence**?","Process by which replicas reach identical state.","eventual-consistency|terminology"
"What is **Anti-entropy**?","Background comparison and repair between replicas (Merkle trees, full scans).","eventual-consistency|terminology"
"What is **Read repair**?","Repair divergent replicas during read path when versions differ.","eventual-consistency|terminology"
"What is **Hinted handoff**?","Temporary redirect of writes when replica down; replay on recovery (Dynamo).","eventual-consistency|terminology"
"What is **Sibling / conflict**?","Concurrent versions detected via vector clocks; require merge.","eventual-consistency|terminology"
"What is **LWW (last-writer-wins)**?","Resolve conflicts by timestamp—**implementation choice**, can lose data.","eventual-consistency|terminology"
"What is **AP system**?","Available + Partition-tolerant; typically eventual consistency.","eventual-consistency|terminology"
"What is **PACELC**?","If Partition: A vs C; Else: Latency vs Consistency (Abadi, 2012).","eventual-consistency|terminology"
"What is **Read-your-writes**?","Session guarantee stronger than pure eventual—client sees own writes.","eventual-consistency|terminology"
"Summarize the core idea of **Eventual Consistency**.","**Eventual consistency** is a **liveness-oriented** guarantee for replicated systems: if updates stop and no new failures occur, all replicas will **converge** to the same value. During convergence, different clients may observe **divergent** states. Unlike linearizability, eventual consistency does not promise a single real-time order of operations—it promises that **safety of convergence** emerges when the system quiesces.","eventual-consistency|summary"
"What is **Linearization point**?","The instant between invocation and response where an operation appears to take effect atomically.","linearizability|terminology"
"What is **History**?","A concurrent execution recording invocations, responses, and real-time intervals.","linearizability|terminology"
"What is **Sequential history**?","Operations arranged in a total order with no overlap.","linearizability|terminology"
"What is **Equivalent histories**?","Same operations with matching responses; order may differ.","linearizability|terminology"
"What is **Real-time order**?","\(op_1 \rightarrow_\{rt\} op_2\) if \(op_1\) completes before \(op_2\) starts.","linearizability|terminology"
"What is **Linearizable history**?","Equivalent to some sequential history that respects the object's spec **and** real-time order.","linearizability|terminology"
"What is **Sequential consistency**?","Total order respecting **program order** per process only—not real-time across processes.","linearizability|terminology"
"What is **Serializability**?","Transactional analog: equivalent to some serial execution of transactions (database isolation).","linearizability|terminology"
"What is **External consistency**?","Spanner term: transactions appear in an order consistent with real-time precedence (related, multi-object).","linearizability|terminology"
"What is **Stale read**?","Read that returns a value older than one already acknowledged by a completed write—violates linearizability if on same object.","linearizability|terminology"
"What is **Fencing token**?","Monotonic token from lock service; storage rejects writes with stale tokens.","linearizability|terminology"
"Summarize the core idea of **Linearizability**.","**Linearizability** (also called **atomic consistency** or **strong consistency** in product language) is the strongest practical single-object consistency model for replicated registers and data structures. Informally: every operation appears to take effect instantaneously at some point between its invocation and response, and all operations respect a single **total order** that is **compatible with real time**—if operation A completes before operation B begins (in wall-clock terms at the clien","linearizability|summary"
"What is **PACELC**?","If **P**artition → **A** vs **C**; **E**lse → **L**atency vs **C**onsistency (Abadi, 2012).","pacelc|terminology"
"What is **PAC / ELC**?","Shorthand for the two decision branches.","pacelc|terminology"
"What is **PA / PC**?","During partition: availability-first vs consistency-first (same as AP/CP in CAP language).","pacelc|terminology"
"What is **EL / EC**?","Else: latency-first vs consistency-first normal operation.","pacelc|terminology"
"What is **Synchronous replication**?","Commit waits for acknowledgment from remote replica(s)—EC-leaning.","pacelc|terminology"
"What is **Asynchronous replication**?","Commit local before remote catch-up—EL-leaning.","pacelc|terminology"
"What is **Quorum read**?","Read contacts multiple replicas to bound staleness—EC-leaning.","pacelc|terminology"
"What is **Local read**?","Read from nearest replica without cross-check—EL-leaning.","pacelc|terminology"
"What is **RPO / RTO**?","Recovery point/time objectives—often correlate with EC vs EL replication.","pacelc|terminology"
"What is **Tail latency**?","p99/p999—often dominated by EC coordination on wide-area paths.","pacelc|terminology"
"Summarize the core idea of **PACELC**.","**PACELC** extends the CAP framing to a question architects face far more often than a full network partition: *What tradeoff do we make between **latency** and **consistency** when the network is healthy?*","pacelc|summary"
"What is **Quorum**?","Subset of replicas sufficient to perform an operation.","quorum-systems|terminology"
"What is **Replication factor (N)**?","Total replicas for a partition/key.","quorum-systems|terminology"
"What is **Read quorum (R)**?","Number of replicas contacted for a read.","quorum-systems|terminology"
"What is **Write quorum (W)**?","Number of replicas that must ack a write.","quorum-systems|terminology"
"What is **Intersection (R+W>N)**?","Any read and write quorums share ≥1 replica.","quorum-systems|terminology"
"What is **Majority**?","Quorum with size \(> N/2\); any two majorities intersect.","quorum-systems|terminology"
"What is **Sloppy quorum**?","Use fallback replicas outside preference list when primary quorum unavailable (Dynamo).","quorum-systems|terminology"
"What is **Hinted handoff**?","Store write for temporarily down replica; deliver on recovery.","quorum-systems|terminology"
"What is **Read repair**?","Fix divergent replicas during read when versions differ.","quorum-systems|terminology"
"What is **Anti-entropy**?","Background reconciliation (Merkle trees, scans).","quorum-systems|terminology"
"What is **Consistency level (CL)**?","Cassandra/Dynamo terminology mapping to R, W.","quorum-systems|terminology"
"What is **PACELC**?","Latency vs consistency when no partition—quorum tuning affects both.","quorum-systems|terminology"
"Summarize the core idea of **Quorum Systems**.","A **quorum system** is a collection of subsets (**quorums**) of replicas such that any two quorums **intersect**—share at least one member. In replicated storage, **quorum reads** and **quorum writes** use these sets to enforce that a read contacts enough replicas to overlap a prior write, enabling **consistency** properties, **fault tolerance**, and **controlled availability** tradeoffs without requiring every replica to participate in every operation.","quorum-systems|summary"
"What is **Sequential consistency (SC)**?","Exists a global sequential order of all ops; each process's ops appear in program order in that sequence.","sequential-consistency|terminology"
"What is **Program order**?","Order of operations as issued by a single process in its code.","sequential-consistency|terminology"
"What is **Global order**?","Total order combining operations from all processes.","sequential-consistency|terminology"
"What is **Linearizability**?","SC **plus** real-time constraint: if op₁ completes before op₂ starts, op₁ precedes op₂ in the order.","sequential-consistency|terminology"
"What is **History**?","Record of invocations and responses with timing intervals.","sequential-consistency|terminology"
"What is **Sequentially consistent history**?","Equivalent to some sequential history respecting program order per process.","sequential-consistency|terminology"
"What is **Coherence (cache coherence)**?","Writes to same address become visible in same order to all—**weaker** than SC in general.","sequential-consistency|terminology"
"What is **Processor consistency**?","Weaker than SC; relaxes ordering among writes from different processors in some definitions.","sequential-consistency|terminology"
"What is **Causal consistency**?","Preserves happens-before; does not require a single global order of all ops.","sequential-consistency|terminology"
"What is **Memory barrier / fence**?","Instruction forcing visibility ordering—implementation mechanism, not a consistency model.","sequential-consistency|terminology"
"What is **TSO (Total Store Order)**?","x86-like model: stores buffered; loads may see stale values briefly—**not identical** to SC in formal sense for all programs.","sequential-consistency|terminology"
"Summarize the core idea of **Sequential Consistency**.","**Sequential consistency** (SC) is a correctness condition for shared-memory multiprocessors and replicated systems in which the result of any execution is the same as if all operations from all processes were executed in some **single global sequential order**, and the operations of each individual process appear in that sequence in the order specified by its **program order** (Lamport, 1979). Unlike **linearizability**, sequential consistency does **not** require that this global order respect","sequential-consistency|summary"
"What is **Session**?","Sequence of operations by one client context bound by an identifier or sticky route.","session-guarantees|terminology"
"What is **Read-your-writes (RYW)**?","Session never reads a value older than one it has written.","session-guarantees|terminology"
"What is **Monotonic reads (MR)**?","If a session reads value v of object x, later reads of x in session return ≥ v (no going backward).","session-guarantees|terminology"
"What is **Monotonic writes (MW)**?","Writes by a session applied in program order at all replicas (no visible reordering of session writes).","session-guarantees|terminology"
"What is **Writes-follow-reads (WFR)**?","Write in session never visible before reads in same session that informed it (causal-ish within session).","session-guarantees|terminology"
"What is **Sticky session / sticky routing**?","Route session's requests to replica subset that has seen session writes.","session-guarantees|terminology"
"What is **Session token**?","Opaque version vector or timestamp client sends; server returns fresher than token.","session-guarantees|terminology"
"What is **Causal consistency**?","Preserves happens-before across all clients—stronger than combined session guarantees in general.","session-guarantees|terminology"
"What is **PRAM consistency**?","Parallel RAM—MW + RYW equivalent in some formulations.","session-guarantees|terminology"
"What is **Consistency window**?","Time/data versions during which anomaly could occur without guarantees.","session-guarantees|terminology"
"Summarize the core idea of **Session Guarantees**.","**Session guarantees** are **client-centric** consistency properties that constrain what a single client session can observe when interacting with a **weakly consistent** or **eventually consistent** replicated store. Unlike global models such as linearizability or sequential consistency, session guarantees do not require all clients to agree on a single real-time order—they bound **per-session anomalies** such as reading stale data immediately after one's own write, seeing values ""go backward i","session-guarantees|summary"
"What is **Atomicity**?","All operations in a transaction succeed together or none persist.","acid-and-isolation|terminology"
"What is **Consistency (C in ACID)**?","Transaction preserves integrity constraints; database moves between valid states.","acid-and-isolation|terminology"
"What is **Isolation**?","Degree to which concurrent transactions' effects are separated.","acid-and-isolation|terminology"
"What is **Durability**?","Committed data survives crashes per recovery guarantees.","acid-and-isolation|terminology"
"What is **Isolation level**?","Named policy (READ UNCOMMITTED … SERIALIZABLE) defining allowed anomalies.","acid-and-isolation|terminology"
"What is **Dirty read**?","Reading uncommitted data from another transaction.","acid-and-isolation|terminology"
"What is **Non-repeatable read**?","Re-reading a row sees a different value within one transaction.","acid-and-isolation|terminology"
"What is **Phantom read**?","Re-running a range query sees new rows inserted by another transaction.","acid-and-isolation|terminology"
"What is **Write skew**?","Two transactions read overlapping data, write disjoint rows, violating an invariant serial execution would prevent.","acid-and-isolation|terminology"
"What is **Serializability**?","Concurrent history equivalent to some serial order of transactions.","acid-and-isolation|terminology"
"What is **Snapshot isolation (SI)**?","Each transaction reads from a consistent snapshot; writes conflict on commit.","acid-and-isolation|terminology"
"What is **Predicate lock**?","Lock on a logical condition (range), not just a row.","acid-and-isolation|terminology"
"What is **Two-phase locking (2PL)**?","Acquire locks before access; release after commit—basis of many serializable implementations.","acid-and-isolation|terminology"
"Summarize the core idea of **ACID and Isolation Levels**.","**ACID**—Atomicity, Consistency, Isolation, and Durability—is the foundational contract between application developers and transactional storage systems. **Atomicity** ensures a transaction's effects are all-or-nothing. **Consistency** (in the database sense) means each transaction preserves application-defined integrity constraints when executed alone. **Isolation** governs how concurrent transactions' intermediate states are visible to one another. **Durability** guarantees committed data surv","acid-and-isolation|summary"
"What is **Tuple version**?","One physical row version of a logical row.","mvcc|terminology"
"What is **xmin**?","Transaction ID that created this version (PostgreSQL).","mvcc|terminology"
"What is **xmax**?","Transaction ID that deleted/updated this version.","mvcc|terminology"
"What is **Snapshot**?","Set of transactions considered visible at a point in time.","mvcc|terminology"
"What is **Snapshot isolation (SI)**?","Reads from consistent snapshot; first-committer-wins on write conflicts.","mvcc|terminology"
"What is **SSI**?","Serializable Snapshot Isolation—tracks rw-dependencies, aborts cycles.","mvcc|terminology"
"What is **Vacuum / GC**?","Reclaims dead tuple versions; advances frozen XID horizon.","mvcc|terminology"
"What is **Write skew**?","Two txs read overlapping data, write non-overlapping rows, break invariant.","mvcc|terminology"
"What is **Version chain**?","Linked old versions of same logical row (InnoDB undo chain).","mvcc|terminology"
"What is **Read view**?","InnoDB structure defining visible trx ids for a transaction.","mvcc|terminology"
"What is **Oldest xmin**?","Oldest active snapshot bound—blocks vacuum progress.","mvcc|terminology"
"What is **Freeze**?","Mark old tuples permanently visible to prevent XID wraparound.","mvcc|terminology"
"Summarize the core idea of **Multi-Version Concurrency Control (MVCC)**.","**Multi-Version Concurrency Control (MVCC)** is a concurrency control technique that stores **multiple versions** of each data item rather than overwriting in place. Readers access a **consistent snapshot** of the database as of a transaction start time (or statement start, depending on isolation), while writers create **new versions** without blocking readers. At commit time, the system detects **write-write conflicts** and may abort transactions that would violate isolation guarantees.","mvcc|summary"
"What is **Saga**?","Sequence of local txs with compensating txs on failure.","sagas|terminology"
"What is **Compensating transaction**?","Semantic undo of a completed local step.","sagas|terminology"
"What is **Choreography**?","Decentralized: services react to events without central controller.","sagas|terminology"
"What is **Orchestration**?","Central saga manager issues commands and tracks state.","sagas|terminology"
"What is **Forward recovery**?","Retry failed step (transient error).","sagas|terminology"
"What is **Backward recovery**?","Run compensations for completed steps.","sagas|terminology"
"What is **Semantic lock**?","Business rule preventing conflicting actions during saga (e.g., no ship until paid).","sagas|terminology"
"What is **Saga log**?","Durable record of saga state and step outcomes.","sagas|terminology"
"What is **Pivot transaction**?","Last step after which compensation is impossible—switch to manual resolution.","sagas|terminology"
"What is **Idempotency key**?","Dedupes retried step execution.","sagas|terminology"
"Summarize the core idea of **Sagas**.","A **saga** is a long-lived business transaction decomposed into a sequence of **local transactions**, each committing independently within its own service boundary. If a later step fails, the saga executes **compensating transactions** to undo or logically reverse the effects of prior steps—because there is no distributed rollback across already-committed local transactions.","sagas|summary"
"What is **Outbox table**?","Table storing pending messages (`id`, `payload`, `topic`, `created_at`, `dispatched_at`).","transactional-outbox|terminology"
"What is **Dual-write problem**?","Two writes without shared atomicity.","transactional-outbox|terminology"
"What is **Message relay**?","Process publishing outbox rows to broker.","transactional-outbox|terminology"
"What is **Polling relay**?","`SELECT ... FOR UPDATE SKIP LOCKED` loop.","transactional-outbox|terminology"
"What is **CDC relay**?","Change Data Capture from WAL/binlog (Debezium).","transactional-outbox|terminology"
"What is **Inbox pattern**?","Consumer-side dedup table for processed message ids.","transactional-outbox|terminology"
